dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,pretrained,0,contrast_down,1,0.9899915047646126,0.9912170271043342,0.008782972895665764,1.093479459681549,1.2579060667868258,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,0,contrast_down,2,0.9899915047646126,0.9862664103077359,0.013733589692264125,1.093479459681549,1.2579060667868258,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,0,contrast_down,3,0.9899915047646126,0.9703064564266564,0.02969354357334364,1.093479459681549,1.2579060667868258,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,0,contrast_down,4,0.9899915047646126,0.8954819689828832,0.10451803101711676,1.093479459681549,1.2579060667868258,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,0,contrast_down,5,0.9899915047646126,0.7211915232441186,0.2788084767558814,1.093479459681549,1.2579060667868258,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,1,contrast_down,1,0.9867345502282888,0.9842806127997494,0.015719387200250567,0.6933935337021639,0.6847739178378289,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,1,contrast_down,2,0.9867345502282888,0.9787774634819819,0.021222536518018087,0.6933935337021639,0.6847739178378289,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,1,contrast_down,3,0.9867345502282888,0.9674748750409023,0.03252512495909765,0.6933935337021639,0.6847739178378289,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,1,contrast_down,4,0.9867345502282888,0.937890913459331,0.062109086540669045,0.6933935337021639,0.6847739178378289,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,1,contrast_down,5,0.9867345502282888,0.8553951158868538,0.1446048841131462,0.6933935337021639,0.6847739178378289,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,2,contrast_down,1,0.9911905785219126,0.9903414527250851,0.009658547274914886,0.816216192292179,0.9171093635251877,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,2,contrast_down,2,0.9911905785219126,0.9827394297440883,0.017260570255911656,0.816216192292179,0.9171093635251877,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,2,contrast_down,3,0.9911905785219126,0.9646832781524057,0.03531672184759427,0.816216192292179,0.9171093635251877,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,2,contrast_down,4,0.9911905785219126,0.9186225250938632,0.08137747490613678,0.816216192292179,0.9171093635251877,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,2,contrast_down,5,0.9911905785219126,0.8185116093720675,0.18148839062793254,0.816216192292179,0.9171093635251877,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,3,contrast_down,1,0.9910253517357612,0.9891976964452035,0.0108023035547965,0.7721418172387208,0.8571299615268231,True,False,0.07966068499560328,0.061291402901336584
